B,CostC_S5000
0,373.74
1,112.4775
2,96.6
3,96.2725
4,95.87
5,96.1
6,95.295
7,95.65
8,95.8575
9,95.6025
10,96.23
11,96.155
12,95.28
13,94.5
14,95.015
15,95.9525
