B,CostC_S50000
0,116330.19
1,80882.4
2,74945.56
3,76281.04
4,79673.34
5,83822.58
6,88249.38
7,93009.64
8,97737.76
9,102441.54
10,107223.96
11,111683.16
12,116242.96
13,120442.2875
14,125396.3975
15,129226.255
