B,CostC_S1000
0,14.82
1,3.52
2,3.3925
3,3.5375
4,3.3425
5,3.525
6,3.5
7,3.6175
8,3.2825
9,3.4425
10,3.5025
11,3.5625
12,3.52
13,3.5925
14,3.64
15,3.6775
