B,CostU_S20000
0,22416.425
1,16575.94
2,6684.735
3,5897.5675
4,4613.2075
5,4445.52
6,4210.2575
7,4179.9925
8,4137.255
9,4138.3
10,4122
11,4121.5825
12,4122.465
13,4109.3
14,4110.42
15,4108.145
