B,CostU_S39321
0,330949.1
1,248193.2025
2,129920.4675
3,124366.4075
4,89647.3975
5,89374.4675
6,75283.6975
7,75490.985
8,69039.0025
9,69384.4525
10,66027.025
11,66473.1225
12,64607.5
13,64927.6475
14,63950.705
15,64235.37
