α,B*
0.0152,4
0.0305,8
0.07629,12
0.1525,13
0.2288,10
0.3051,15
0.4577,13
0.5,14
0.5340,14
0.6,14
0.61,14
0.6866,14
0.75,14
0.7629,14
0.8392,14
0.918,14
0.9918,14
