B,CostU_S10000
0,2084.4
1,408.741
2,408.741
3,440.02
4,412.68
5,408.741
6,404.855
7,404.78
8,404.195
9,404.445
10,405.1925
11,408.3325
12,404.1575
13,403.165
14,404.3075
15,403.75
