B,CostU_S30000
0,103768.075
1,79435.8
2,36537.1175
3,33945.1075
4,24214.44
5,23568.6275
6,20672.2225
7,20447.3675
8,19460.285
9,19400.0025
10,19007.1625
11,18970.3075
12,18802.595
13,18722.3125
14,18722.8475
15,18746.455
