B,CostU_S32768
0,148775.85
1,113677.7
2,54264.26
3,51152.9475
4,36382.545
5,35830.4
6,30681.07
7,30490.2075
8,28559.065
9,28530.1425
10,27738.665
11,27714.235
12,27323.8875
13,27310.065
14,27098.98
15,27188.5025
