B,CostU_S40000
0,359093.025
1,268443.1
2,268066.115
3,135729.7125
4,98127.9575
5,98454.7
6,82234.8625
7,82952.5775
8,75397.15
9,76013.35
10,72216.985
11,72627.865
12,70590.44
13,71081.4475
14,69861.68
15,70299.1675
