B,CostU_S35000
0,196731.125
1,149747.8
2,73704.575
3,69885.425
4,49772.875
5,49506
6,41853.63
7,41684.395
8,38710.44
9,38776.895
10,37277.71
11,37366.1325
12,36634.295
13,36851.6725
14,36340.4925
15,36493.6225
