B,CostU_S65000
0,831144019.4
1,86324621.875
2,86184678.64
3,36245918.1125
4,30065028.3125
5,27190013.82
6,24777312.44
7,23507786.4875
8,22195288.43
9,21673414.5625
10,20951427.995
11,20695531.14
12,20204593.62
13,20106365.4675
14,19750339.4375
15,19758752.1725
