B,CostU_S60000
0,9527308.425
1,4190566
2,4187747.97
3,2444138.62
4,2023889.8525
5,1974780.91
6,1762831.39
7,1768249.4025
8,1639348.4525
9,1661100.58
10,1572013.655
11,1601230.9775
12,1537080.655
13,1569142.3725
14,1518896.005
15,1551185.53
