B,CostC_S32768
0,35485.15
1,18158.08
2,13956.92
3,12394.37
4,11682.045
5,11284.825
6,11089.025
7,10982.04
8,10861.45
9,10844.875
10,10819.4375
11,10781.4125
12,10774.6875
13,10762.4375
14,10753.07
15,10750.7175
