B,CostC_S40000
0,64615.05
1,37104.6
2,30442.9
3,28019.6
4,27041.35
5,80239.45
6,26550.91
7,26194.925
8,26225.625
9,26246.515
10,26262.535
11,26353.25
12,26378.375
13,26482.815
14,26546.6625
15,26629.3025
