B,CostC_S65536
0,19933730.05
1,3877510
2,2351517
3,1949519
4,1767770
5,1709712
6,1656395
7,1661560
8,1672695
9,1688291.16
10,1733285
11,1753372.5
12,1758367
13,1778289.45
14,1784206.475
15,1830991.6825
