B,CostC_S39321
0,45288.65625
1,34839.05
2,28399.5
3,26025.05
4,24992.7
5,24453.75
6,24222.01
7,24088.76
8,24073.31
9,24054.75
10,24122.025
11,24138.9
12,24133.615
13,24256.5225
14,24238.3675
15,24301.4
