B,CostC_S35000
0,42991.1375
1,22823.19
2,15865.94
3,16040.775
4,15153.115
5,14693.85
6,14428.275
7,14305.25
8,14184.765
9,14129.385
10,14128.175
11,14042.8125
12,14039.25
13,14081.3375
14,14053.18
15,14053.9475
