B,CostC_S65530
0,18563798.2875
1,3138816
2,1881153
3,1537956
4,1406648
5,1350746
6,1324766
7,1340464.5
8,1348590
9,1369998.2175
10,1401465
11,1427144.5
12,1463252.5
13,1495750.3875
14,1524817.6025
15,1565410.045
