B,CostC_S30000
0,55632.675
1,20795.67
2,13554.25
3,10827.35
4,9530.97
5,8844.47
6,8494.78
7,8222.93
8,8050.095
9,7968.01
10,7917.575
11,7867.235
12,7815.265
13,7802.2225
14,7792.66
15,7805.715
