B,CostC_S65536
0,39867460.1
1,6631970
2,3796172
3,3000679
4,2614675
5,2445992
6,2302600
7,2254140
8,2221560
9,2200839.8225
10,2223340
11,2216285
12,2192914
13,2191628.2125
14,2174827
15,2210850.0075
