B,CostC_S35000
0,85982.275
1,35799.49
2,22037.14
3,20250.05
4,17955.83
5,16657.3
6,15865.55
7,15380.5
8,15006.93      
9,14770.17
10,14633.45
11,14436.925
12,14359.4
13,14342.2125
14,14266.755
15,14229.36
