B,CostC_S2000
0,142650
1,17.025
2,14.5475
3,14.675
4,14.3375
5,14.1075
6,14.575
7,14.19
8,14.2525
9,13.8675
10,14.1275
11,14.29
12,14.2025
13,14.44
14,14.3475
15,14.225
