B,CostC_S39321
0,90577.3125
1,55397.9
2,40365.5
3,34042.3
4,30790.5
5,28833.4
6,27653.02
7,26836.62
8,26328.42
9,25919.8
10,25688.85
11,25463.1
12,25259.53
13,25233.4975
14,25081.6175
15,25029.1
