B,CostC_S60000
0,845293.15
1,433752.4
2,356445
3,342834
4,348790
5,362882
6,380496
7,400128
8,421080
9,442686
10,464756
11,487117
12,511116
13,533068.7225
14,556667.1325
15,579023.15
