B,CostC_S65530
0,37127596.575
1,5365636
2,3031833
3,2360461
4,2072998
5,1923861
6,1832796
7,1809564
8,1781697
9,1776512.555
10,1787850
11,1794049
12,1815925
13,1834653.3375
14,1850693.89
15,1882150.52
