B,CostC_S32768
0,70970.3
1,28248.23
2,18985.02
3,15332.52
4,17955.83
5,12543.05
6,11968.85
7,11617.98
8,11324.8
9,11193.75
10,11080.875
11,10980.125
12,10932.575
13,10882.9
14,10846.2575
15,10826.1675
