B,CostU_S10000
0,833.76
1,407.751
2,407.751
3,418.84
4,409.545
5,407.751
6,404.735
7,402.765
8,404.15
9,404.445
10,405.1625
11,408.3325
12,404.1575
13,403.165
14,404.2775
15,403.75
