α,B*
0.0152,4
0.0305,8
0.07629,14
0.1525,7
0.2288,10
0.3051,13
0.4577,13
0.5,14
0.5340,12
0.6,10
0.61,10
0.6866,10
0.75,8
0.7629,8
0.8392,8
0.918,8
