B,CostU_S65000
0,332457607.76
1,43178239.63
2,43108332.4
3,20752048.4375
4,18088859.4725
5,17051164.035
6,16097217.86
7,15742401.1775
8,15262647.935
9,15252182.5825
10,15050914.595
11,15140167.635
12,15026850.675
13,15175451.9025
14,15109243.9325
15,15300161.3825
