B,CostU_S32768
0,59510.34
1,59342
2,34850.57
3,35250.1275
4,29183.49
5,29683.88
6,27566.17
7,27801.4725
8,27063.535
9,27211.1175
10,26934.845
11,27007.24
12,26867.7075
13,26902.335
14,26824.465
15,26929.0775
