B,CostU_S35000
0,78692.45
1,77833
2,46405.505
3,47161.07
4,38868.985
5,39897.18
6,36716.775
7,37151.065
8,36028.215
9,36353.12
10,35774.995
11,35989.6125
12,35709.035
13,35981.8675
14,35747.6925
15,35923.8475
