B,CostU_S5000
0,92.63
1,67.35
2,46.2475
3,45
4,45.5375
5,45.2375
6,45.3375
7,44.9375
8,44.595
9,44.6825
10,44.9225
11,45.0625
12,44.3625
13,45.91
14,44.3325
15,46.4875
