B,CostU_S55000
0,1105006.8
1,833068
2,832757.51
3,580742.57
4,497945.8
5,517755.6825
6,475415.015
7,496739.445
8,470957.77
9,490614.845
10,473930.045
11,491216.59
12,479559.495
13,495816.2225
14,487313.215
15,501944.2675
