S,Linear_ProbesC_B11,Random_ProbesC_B11,Total_ProbesC_B11
1000,3.5625,0,3.5625
2000,14.29,0,14.29
5000,96.155,0,96.155
10000,432.033,0,432.033
15000,1107.4,0.0125,1107.41
20000,2301.3,0.155,2301.45
30000,7710.31,15.6925,7726
32768,10582.7,39.7425,10622.4
35000,13648.7,78.8225,13727.5
39321,22814.7,264.84,23079.6
40000,24776.1,315.43,25091.6
45000,47546.5,1067.37,48613.9
49152,86514.7,2747.13,89261.9
50000,98397.8,3321.34,101719
55000,192527,8788.38,201315
60000,315040,17207.7,332247
65530,1060240,73380.9,1133620
65536,1290460,92582.5,1383050
