S,Linear_ProbesC_B14,Random_ProbesC_B14,Total_ProbesC_B14
1000,3.64,0.0,3.64
2000,14.3475,0.0,14.3475
5000,95.015,0.0,95.015
10000,433.27,0.0,433.27
15000,1108.05,0.0,1108.05
20000,2300.46,0.0325,2300.4925
30000,7730.985,6.1675,7737.1525
32768,10659.8825,18.6375,10678.52
35000,13839.605,42.715,13882.32
39321,23395.1175,168.65,23563.7675
40000,25518.0875,205.715,25723.8025
45000,50613.955,811.0725,51425.0275
49152,98373.3425,2354.7375,100728.08
50000,113733.7475,2915.6625,116649.41
55000,236438.8525,8568.075,245006.9275
60000,386423.2575,17024.3875,403447.645
65530,1198941.315,65175.2575,1264116.5725
65536,1393585.95,78124.105,1471710.055
