S,Linear_ProbesC_B800,Random_ProbesC_B800,Total_ProbesC_B800
1000,3.535,0.0,3.535
2000,14.2725,0.0,14.2725
5000,94.665,0.0,94.665
10000,429.0625,0.0,429.0625
15000,1112.3675,0.0,1112.3675
20000,2301.85,0.0,2301.85
30000,7770.4225,0.0,7770.4225
32768,10760.925,0.0,10760.925
35000,14071.2825,0.0,14071.2825
39321,24960.1075,0.0,24960.1075   
40000,27639.3775,0.0,27639.3775
45000,69473.7525,0.0,69473.7525
49152,400971.86,65.8625,401037.7225
50000,910557.8,292.0,910849.8
55000,7638899.0825,8051.565,7646950.6475
60000,14657463.6125,16722.415,14674186.0275
65530,49015581.8375,58671.425,49074253.2625
65536,68673936.04,83296.085,68757232.125
