S,Linear_ProbesC_B2,Random_ProbesC_B2,Total_ProbesC_B2
1000,3.3925,0,3.3925
2000,14.4975,0.005,14.5025
5000,95.36,0.31,95.67
10000,428.113,6.7525,434.865
15000,1092.97,34.7225,1127.69
20000,2223.71,115.8,2339.51
30000,6812.82,674.143,7486.97
32768,8928.82,1005.62,9934.43
35000,9694.74,1234.24,10929
39321,16433.5,2393.2,18826.7
40000,17454.5,2597.68,20052.2
45000,27246.7,4715.87,31962.6
49152,39089.9,7483.77,46573.7
50000,42092.6,8213.24,50305.9
55000,65318.3,14047,79365.3
60000,105939,25050.6,130990
65530,730473,230136,960609
65536,906862,288931,1195790
