S,Linear_ProbesC_B10,Random_ProbesC_B10,Total_ProbesC_B10
1000,3.5025,0,3.5025
2000,14.1275,0,14.1275
5000,96.23,0,96.23
10000,429.105,0,429.105
15000,1107.48,0.02,1107.51
20000,2294.78,0.285,2295.07
30000,7699.25,21.8325,7721.0
32768,10558,52.2875,10610.3
35000,13622.9,101.055,13724
39321,22555.2,313.365,22868.5
40000,24424,367.707,24791.7
45000,46146,1177.49,47323.5
49152,82375.6,2923.63,85299.3
50000,93207.8,3504.04,96711.8
55000,177936,8917.75,186854
60000,291434,17332.2,308766
65530,1015080,77277,1092360
65536,1243230,98011,1341240
