S,Linear_ProbesC_B1,Random_ProbesC_B1,Total_ProbesC_B1
1000,3.38,0.035,3.415
2000,14.4,0.2625,14.6625
5000,94.9775,4.375,99.3525
10000,422.195,37.2575,459.452
15000,1067.98,136.465,1204.45
20000,2135.66,354.798,2490.46
30000,6244.97,1455.07,7700.04
32768,8067.93,2018.03,10086
35000,9846.89,2595.26,12442.1
39321,14280.2,4111.77,18391.9
40000,15097.6,4401.4,19499
45000,22777.7,7223.2,30000.9
49152,31942.8,10768.4,42711.2
50000,34206,11669.1,45875.2
55000,52360.3,19175.5,71535.8
60000,86978.4,34677.4,121656
65530,911996,445364,1357360
65536,1123050,550892,1673940
