S,Linear_ProbesC_B7,Random_ProbesC_B7,Total_ProbesC_B7
1000,3.6175,0,3.6175
2000,14.19,0,14.19
5000,95.65,0,95.65
10000,431.52,0.0125,431.533
15000,1108.71,0.2,1108.91
20000,2293.27,2.2375,2295.51
30000,7597.88,62.505,7660.38
32768,10346.1,127.188,10473.2
35000,13230,215.05,13445
39321,21340.9,549.572,21890.5
40000,23030.1,632.965,23663.1
45000,41317.9,1688.9,43006.8
49152,68587.5,3655.6,72243.1
50000,76035.4,4243.56,80279
55000,135040,9497.82,144538
60000,220619,17950.9,238570
65530,871365,93819.9,965185
65536,1068980,118516,1187500
