S,Linear_ProbesC_B8,Random_ProbesC_B8,Total_ProbesC_B8
1000,3.2825,0,3.2825
2000,14.2525,0,14.2525
5000,95.8575,0,95.8575
10000,431.26,0,431.26
15000,1107.74,0.0675,1107.81
20000,2296.15,1.125,2297.28
30000,7624.22,42.5875,7666.8
32768,10398.1,92.67,10490.7
35000,13362.6,164.433,13527.1
39321,21818.2,451.022,22269.3
40000,23604.3,524.265,24128.5
45000,43174.7,1482.11,44656.8
49152,73313.5,3352.96,76666.5
50000,81944.4,3948.34,85892.8
55000,149494,9268.31,158763
60000,244305,17677.5,261982
65530,915483,86621.4,1002100
65536,1123830,109773,1233610
