S,Linear_ProbesC_B13,Random_ProbesC_B13,Total_ProbesC_B13
1000,3.5925,0.0,3.5925
2000,14.44,0.0,14.44
5000,94.5,0.0,94.5
10000,431.7125,0.0,431.7125
15000,1109.45,0.0025,1109.4525
20000,2295.5125,0.035,2295.5475
30000,7718.5475,8.3675,7726.915
32768,10641.975,24.0925,10666.0675
35000,13820.4625,52.175,13872.6375
39321,23279.5475,195.395,23474.9425
40000,25297.6525,237.0325,25534.685
45000,49695.4425,880.0675,50575.51
49152,94474.76,2466.4675,96941.2275
50000,108333.0275,3027.315,111360.3425
55000,221891.255,8637.6275,230528.8825
60000,362398.4475,17067.0275,379465.475
65530,1156847.4375,67780.59,1224628.0275
65536,1364950.6875,82667.7525,1447618.44
