S,Linear_ProbesC_B3,Random_ProbesC_B3,Total_ProbesC_B3
1000,3.5375,0,3.5375
2000,14.625,0.005,14.63
5000,96.1125,0.04,96.1525
10000,429.863,1.53,431.392
15000,1103.97,10.935,1114.91
20000,2259.88,45.415,2305.29
30000,7143.15,368.42,7511.57
32768,9456.22,587.63,10043.8
35000,11831.5,841.855,12673.4
39321,18007.8,1603.45,19611.2
40000,19197.2,1764.48,20961.7
45000,30983.7,3509.66,34493.3
49152,45870.3,5984.27,51854.6
50000,49666.8,6653.56,56320.3
55000,78902.2,12030.4,90932.7
60000,127592,21524.2,149116
65530,715451,164501,879951
65536,898359,210232,1108590
