S,Linear_ProbesC_B4,Random_ProbesC_B4,Total_ProbesC_B4
1000,3.3425,0,3.3425
2000,14.3375,0,14.3375
5000,95.84,0.0075,95.8475
10000,431.808,0.3775,432.185
15000,1103.95,3.7375,1107.69
20000,2282.15,20.0825,2302.23
30000,7337.17,219.38,7556.55
32768,9812.37,373.935,10186.3
35000,12350.4,560.543,12910.9
40000,20568.9,1294.49,21863.3
45000,34189.1,2792.76,36981.9
49152,40192.6,3842.91,44035.5
50000,56776.7,5724.16,62500.8
55000,92769.4,10953.8,103723
60000,150316,19847.4,170163
65530,740298,133270,873568
65536,920865,169381,1090250
