S,Linear_ProbesC_B9,Random_ProbesC_B9,Total_ProbesC_B9
1000,3.4425,0,3.4425
2000,13.8675,0,13.8675
5000,95.6025,0,95.6025
10000,429.585,0,429.585
15000,1109.35,0.03,1109.38
20000,2301.09,0.6525,2301.75
30000,7668.11,29.99,7698.1
32768,10496,69.775,10565.7
35000,13488.6,128.157,13616.7
39321,22189.7,373.01,22562.7
40000,24071.3,435.043,24506.4
45000,44689,1313.58,46002.6
49152,77992,3120.51,81112.5
50000,87596.9,3711.16,91308
55000,164006,9090.99,173097
60000,267863,17482.3,285346
65530,963483.88,81302.8675,1044786.7475
65536,1180360,1029740,1283330
