S,Linear_ProbesC_B6,Random_ProbesC_B6,Total_ProbesC_B6
1000,3.5,0,3.5
2000,14.575,0,14.575
5000,95.295,0,95.295
10000,431.053,0.0125,431.065
15000,1107.4,0.43,1107.84
20000,2290.13,4.2675,2294.4
30000,7565.38,92.94,7658.31
32768,10209.2,175.965,10385.2
35000,12991,287.455,13278.5
39321,20791,686.202,21477.2
40000,22411.8,783.64,23195.4
45000,39257.4,1955.23,41212.7
49152,63498.7,4015.44,67514.1
50000,69826.1,4605.82,74431.9
55000,120803,9813.43,130617
60000,197021,18347.5,215369
65530,816736,101606,918342
65536,1010190,129241,1139430
