S,Linear_ProbesS_B1,Random_ProbesS_B1,Total_ProbesS_B1
1000,0.38,0.0075,0.3875
2000,2.6425,0.14,2.7825
5000,44.86,5.6225,50.4825
10000,407.091,0.165,407.256
15000,1502.08,414.155,1916.23
20000,3946.54,1262.94,5209.48
30000,16571,6286.48,22857.5
32768,23118.2,9055.95,32174.2
35000,29889.8,11985.8,41875.6
39321,48014.1275,20017.9075,68032.035
40000,51683.1,21676,73359.1
45000,88153.1,38420.1,126573
49152,139137,62437.3,201575
50000,153451,69252.9,222704
55000,290596,135618,426214
60000,719086,347148,1066230
65000,14413984.8,7191063.7075,21605048.5075
