S,Linear_ProbesS_B6,Random_ProbesS_B6,Total_ProbesS_B6
1000,0.2875,0.0,0.2875
2000,2.6925,0.0,2.6925
5000,45.3375,0.0,45.3375
10000,404.655,0.02,404.675
15000,1532.205,1.0375,1533.2425
20000,4098.1075,11.215,4109.3225
30000,18019.6475,265.2575,18284.905
32768,25489.57,519.15,26008.72
35000,33292.205,856.1425,34148.3475
39321,54652.8225,2063.0875,56715.91
40000,58902.0625,2333.28,61235.3425
45000,102692.2,5820.2425,108512.4425
49152,164044.28,11813.64,175857.92
50000,181301.5625,13666.69,194968.2525
55000,343668.195,32936.705,376604.9
60000,810744.115,95208.7275,905952.8425
65000,10310488.14,1446682.43,11757170.57
