S,Linear_ProbesS_B5,Random_ProbesS_B5,Total_ProbesS_B5
1000,0.33,0.0,0.33
2000,2.64,0,2.64
5000,45.2375,0,45.2375
10000,407.091,0.165,407.256
15000,1539.29,4.2875,1543.58
20000,4102.62,34.29,4136.91
30000,17989.7025,557.8925,18547.595
32768,25586.2,1024.42,26610.7
35000,33491.3,1601.47,35092.8
39321,54794.6425,3457.9825,58252.625
40000,59371.6,3908.31,63279.9
45000,90352.6675,7660.9425,98013.61
49152,165591.3,16672.5275,182263.8275
50000,183039.7975,19031.285,202071.0825
55000,346795.2625,42740.105,389535.3675
60000,813301.71,116147.92,929449.63
65000,10291930.845,1689808.2975,11981739.1425
