S,Linear_ProbesS_B2,Random_ProbesS_B2,Total_ProbesS_B2
1000,0.34,0.0,0.34 
2000,2.785,0.0075,2.7925
5000,44.6975,0.3875,45.085
10000,407.091,0.165,407.256
15000,1480.1325,70.62,1550.7525
20000,3852.835,283.19,4136.025
30000,15797.0925,2074.0025,17871.095
32768,21908.11,3235.615,25143.725
35000,28206.125,4549.845,32755.97
39321,45161.2425,8475.9225,53637.165
40000,51616.14,21644.9975,73261.1375
45000,88162.285,38427.425,126589.71
49152,139238.79,62479.86,201718.65
50000,153415.0275,69239.7025,222654.73
55000,290490.61,135566.725,426057.335
60000,718617.02,346913.095,1065530.115
65000,14390768.24,7179391.04,21570159.28
