S,Linear_ProbesS_B13,Random_ProbesS_B13,Total_ProbesS_B13
1000,0.3225,0.0,0.3225
2000,2.585,0.0,2.585
5000,45.91,0.0,45.91
10000,403.165,0.0,403.165
15000,1533.62,0.0025,1533.6225
20000,4107.725,0.1575,4107.8825
30000,18487.4625,23.485,18510.9475
32768,26630.515,67.955,26698.47
35001,35401.9975,144.9675,35546.965
39321,59996.4475,493.12,60489.5675
40000,65139.3225,594.2125,65733.535
45001,118713.5575,1987.935,120701.4925
50001,218776.9975,5806.2275,224583.225
55001,429616.5425,16549.92,446166.4625
60000,1029351.5725,53979.08,1083330.6525
65000,11888176.1925,821818.9275,12709995.12
