S,Linear_ProbesS_B800,Random_ProbesS_B800,Total_ProbesS_B800
1000,0.24,0.0,0.24
2000,2.4725,0.0,2.4725
5000,65.6575,0.025,65.6825
10000,483.61,0.0,483.71
15000,1915.845,0.4775,1916.3225
20000,4848.7325,0.9125,4849.645
30000,21675.3775,3.46,21678.8375
32768,30982.14,4.345,30986.485
35000,41393.9025,5.19,41399.0925
39321,75300.3175,7.5725,75307.89
40000,83289.615,7.9575,83297.5725
45000,263698.885,13.19,263712.075
49152,2046050.69,1877.0275,2047927.7175
50000,2326827.7039,2280.7039,2329108.4078
55000,3340922.4025,3176.68,3344099.0825
60000,6599766.51,4878.77,6604645.28
65000,194999493.1475,219719.3825,195219212.53
