S,Linear_ProbesS_B14,Random_ProbesS_B14,Total_ProbesS_B14
1000,0.35,0.0,0.35
2000,2.7425,0.0,2.7425
5000,44.3325,0.0,44.3325
10000,404.2575,0.005,404.2625
15000,1537.33,0.02,1537.35
20000,4108.995,0.1425,4109.1375
30000,18571.2725,15.1575,18586.43
32768,26641.455,45.7525,26687.2075
35000,35352.4925,98.8,35451.2925
39321,60235.305,371.54,60606.845
40000,65374.68,448.7,65823.38
45000,119326.105,1589.5675,120915.6725
49152,197705.895,4024.8875,201730.7825
50000,219844.8925,4843.2975,224688.19
55000,430039.135,14318.52,444357.655
60000,1031083.73,48781.2275,1079864.9575
65000,12015180.2625,773515.9175,12788696.18
