S,Linear_ProbesS_B3,Random_ProbesS_B3,Total_ProbesS_B3
1000,0.34,0.0,0.34
2000,2.7725,0.0025,2.775
5000,44.73,0.0675,44.7975
10000,404.72,3.53,408.25
15000,1531.775,37.355,1569.13
20000,4066.9675,183.06,4250.0275
30000,17520.2825,1642.4825,19162.765
32768,24648.2475,2650.47,27298.7175
35000,32011.5,3787.3925,35798.8925
39321,52099.5325,7226.6875,59326.22
40000,56118.1625,7961.155,64079.3175
45000,96766.1075,15873.215,112639.3225
49152,153774.185,27923.865,181698.05
50000,169553.02,31388.79,200941.81
55000,318769.01,65493.39,384262.4
60000,749890.12,169424.85,919314.97
65000,10422801.9875,2582311.6125,13005113.6
