S,Linear_ProbesS_B15,Random_ProbesS_B15,Total_ProbesS_B15
1000,0.3575,0.0,0.3575
2000,2.595,0.0,2.595
5000,46.4875,0.0,46.4875
10000,403.75,0.0,403.75
15000,1534.485,0.0,1534.485
20000,4107.595,0.055,4107.65
30000,18606.705,13.975,18620.68
32768,26756.1275,43.2375,26799.365
35000,35543.9975,94.9625,35638.96
39322,60639.645,359.5725,60999.2175
40000,65937.4175,436.175,66373.5925
45000,121173.7325,1556.875,122730.6075
49152,202439.0325,3968.805,206407.8375
50000,225299.895,4771.06,230070.955
55000,445433.9475,14127.58,459561.5275
60000,1073420.205,47776.5325,1121196.7375
65000,12327767.5225,743098.465,13070865.9875
