S,Linear_ProbesS_B4,Random_ProbesS_B4,Total_ProbesS_B4
1000,0.285,0.0,0.285
2000,2.6425,0.0,2.6425
5000,45.5175,0.005,45.5225
10000,407.455,0.5225,407.9775
15000,1531.725,7.915,1539.64
20000,4076.8825,53.6325,4130.515
30000,17381.265,683.3175,18064.5825
32768,24384.12,1199.8425,25583.9625
35000,31599.725,1817.315,33417.04
39321,51160.0725,3848.7325,55008.805
40000,55081.3825,4304.6575,59386.04
45000,94617.0725,9504.22,104121.2925
49152,150117.5575,18014.3575,168131.915
50000,165629.01,20554.135,186183.145
55000,312476.08,46367.43,358843.51
60000,741469.5275,128242.0325,869711.56
65000,10104746.9125,1996028.14,12100775.0525
