S,Linear_ProbesS_B0,Random_ProbesS_B0,Total_ProbesS_B0
1000,0.0,0.145,0.145
2000,0.0,1.4125,1.4125
5000,0.0,23.1575,23.1575
10000,0.0,208.44,208.44
15000,0.0,810.285,810.285
20000,0.0,2241.6425,2241.6425
30000,0.0,10376.8075,10376.8075
32768,0.0,14877.585,14877.585
35000,0.0,19673.1125,19673.1125
39321,0.0,33094.91,33094.91
40000,0.0,35909.3025,35909.3025
45000,0.0,65391.1825,65391.1825
49152,0.0,111141.0025,111141.0025
50000,0.0,124806.95,124806.95
55000,0.0,276251.7,276251.7
60000,0.0,952730.8425,952730.8425
65000,0.0,83114401.94,83114401.94
