S,Linear_ProbesS_B7,Random_ProbesS_B7,Total_ProbesS_B7
1000,0.3025,0.0,0.3025
2000,2.7125,0.0,2.7125
5000,44.9375,0.0,44.9375
10000,402.755,0.0025,402.7575
15000,1538.0,0.5575,1538.5575
20000,4110.0925,6.99,4117.0825
30000,18261.1675,218.62,18479.7875
32768,26008.9825,448.1225,26457.105
35000,34128.845,755.555,34884.4
39321,56658.935,1883.205,58542.14
40000,61333.1025,2161.9475,63495.05
45000,108543.4975,5486.965,114030.4625
49152,175436.095,11246.4025,186682.4975
50000,194251.12,13008.9125,207260.0325
55000,371477.275,31315.5425,402792.8175
60000,873879.3025,89437.01,963316.3125
65000,10565477.6375,1294230.885,11859708.5225
