S,Linear_ProbesS_B11,Random_ProbesS_B11,Total_ProbesS_B11
1000,0.295,0.0,0.295
2000,2.7275,0.0,2.7275
5000,45.0625,0.0,45.0625
10000,408.3325,0.0,408.3325
15000,1534.385,0.0175,1534.4025
20000,4116.6075,0.4975,4117.105
30000,18500.9325,46.9375,18547.87
32768,26535.91,117.8325,26653.7425
35000,35071.9325,229.42,35301.3525
39321,59209.1225,726.4,59935.5225
40000,64112.84,851.5025,64964.3425
45000,115846.155,2643.0625,118489.2175
49152,190873.5975,6193.71,197067.3075
50000,211995.8525,7337.0975,219332.95
55000,412011.85,19801.185,431813.035
60000,981011.6275,62021.935,1043033.5625
65000,11436591.965,925893.9175,12362485.8825
