S,Linear_ProbesS_B12,Random_ProbesS_B12,Total_ProbesS_B12
1000,0.31,0.0,0.31
2000,2.7225,0.0,2.7225
5000,44.3625,0.0025,44.365
10000,404.1575,0.0,404.1575
15000,1539.895,0.0125,1539.9075
20000,4120.14,0.2325,4120.37
30000,18516.595,28.6,18545.195
32768,26563.5875,76.03,26639.6175
35000,35092.195,154.21,35246.405
40000,64377.69,621.275,64998.965
45000,116227.3675,2033.3425,118260.71
49152,191367.9275,4977.4275,196345.355
50000,212136.1975,5915.9925,218052.19
55000,412155.615,16850.97,429006.585
60000,983248.43,55383.2225,1038631.6525
65000,11575022.045,862957.1575,12437979.2025







