S,Linear_ProbesS_B10,Random_ProbesS_B10,Total_ProbesS_B10
1000,0.3325,0.0,0.3325
2000,2.7775,0.0,2.7775
5000,44.9225,0.0,44.9225
10000,405.1425,0.005,405.1475
15000,1531.6175,0.04,1531.6575
20000,4115.25,0.675,4115.925
30000,18457.3375,54.9825,18512.32
32768,26398.965,133.97,26532.935
35000,34773.185,250.4525,35023.6375
39321,58318.325,770.87,59089.195
40000,63155.91,906.1075,64062.0175
45000,112719.4325,2732.8475,115452.28
49152,183808.7725,6338.6125,190147.385
50000,203828.045,7509.81,211337.855
55000,392607.535,20330.6275,412938.1625
60000,930747.53,64126.6125,994874.1425
65000,11117238.995,983418.9,12100657.895
