S,Cluster_size_B5,Cluster_Prob_B5
6554,1,0.812967
6554,2,0.1522
6554,3,0.0277295
6554,4,0.00555054
6554,5,0.00122528
6554,6,0.000245361
6554,7,6.19507e-05
6554,8,1.2207e-05
6554,9,8.23975e-06
13107,1,0.650984
13107,2,0.22722
13107,3,0.075379
13107,4,0.0277454
13107,5,0.0106628
13107,6,0.0046344
13107,7,0.00188202
13107,8,0.000820312
13107,9,0.000420227
13107,10,0.000167847
13107,11,5.37109e-05
13107,12,2.19727e-05
13107,13,7.93457e-06
19661,1,0.512002
19661,2,0.250076
19661,3,0.112966
19661,4,0.0549756
19661,5,0.0290131
19661,6,0.0163934
19661,7,0.00991852
19661,8,0.0061377
19661,9,0.0035733
19661,10,0.00202332
19661,11,0.00130249
19661,12,0.000681152
19661,13,0.000464172
19661,14,0.000213623
19661,15,0.000114441
19661,16,7.8125e-05
19661,17,2.59399e-05
19661,18,1.64795e-05
19661,19,1.15967e-05
19661,22,1.34277e-05
26214,1,0.393581
26214,2,0.241483
26214,3,0.129662
26214,4,0.0745874
26214,5,0.0464706
26214,6,0.0311847
26214,7,0.0227786
26214,8,0.0166528
26214,9,0.0122086
26214,10,0.00901794
26214,11,0.00642853
26214,12,0.00456299
26214,13,0.00342377
26214,14,0.00236694
26214,15,0.00163422
26214,16,0.00125488
26214,17,0.000809326
26214,18,0.000532837
26214,19,0.0003479
26214,20,0.000262451
26214,21,0.000185852
26214,22,0.000174561
26214,23,0.000105286
26214,24,8.78906e-05
26214,25,5.34058e-05
26214,26,5.5542e-05
26214,27,8.23975e-06
26214,28,1.70898e-05
26214,29,1.77002e-05
26214,32,9.76563e-06
26214,33,1.00708e-05
26214,38,1.15967e-05
26214,41,1.25122e-05
32768,1,0.292612
32768,2,0.21622
32768,3,0.130187
32768,4,0.080885
32768,5,0.0540268
32768,6,0.0394611
32768,7,0.0319836
32768,8,0.0260425
32768,9,0.0212421
32768,10,0.0192535
32768,11,0.0154553
32768,12,0.0129785
32768,13,0.0108624
32768,14,0.00924988
32768,15,0.00699463
32768,16,0.00618652
32768,17,0.00493896
32768,18,0.00381775
32768,19,0.00327606
32768,20,0.00283813
32768,21,0.00209564
32768,22,0.00175903
32768,23,0.0013266
32768,24,0.000952148
32768,25,0.00114441
32768,26,0.000880737
32768,27,0.000601501
32768,28,0.000452881
32768,29,0.000407104
32768,30,0.000274658
32768,31,0.000236511
32768,32,0.000253906
32768,33,0.00012085
32768,34,0.000238647
32768,35,0.000149536
32768,36,8.78906e-05
32768,37,6.7749e-05
32768,38,6.95801e-05
32768,39,0.000119019
32768,40,7.32422e-05
32768,41,2.50244e-05
32768,43,5.24902e-05
32768,44,2.68555e-05
32768,45,2.74658e-05
32768,47,1.43433e-05
32768,48,1.46484e-05
32768,52,1.58691e-05
39321,1,0.202546
39321,2,0.188435
39321,3,0.120186
39321,4,0.0781946
39321,5,0.0534744
39321,6,0.0393823
39321,7,0.031644
39321,8,0.0274829
39321,9,0.024277
39321,10,0.0219086
39321,11,0.0202658
39321,12,0.0185339
39321,13,0.0167062
39321,14,0.0159448
39321,15,0.0139847
39321,16,0.0122803
39321,17,0.0117612
39321,18,0.0101788
39321,19,0.00996735
39321,20,0.00838623
39321,21,0.00724823
39321,22,0.00700256
39321,23,0.00625397
39321,24,0.0053833
39321,25,0.00496674
39321,26,0.00446716
39321,27,0.0039386
39321,28,0.00322998
39321,29,0.00306213
39321,30,0.00303955
39321,31,0.00233673
39321,32,0.00228516
39321,33,0.00187317
39321,34,0.0018158
39321,35,0.0013031
39321,36,0.00181274
39321,37,0.00127594
39321,38,0.00114807
39321,39,0.00117828
39321,40,0.000793457
39321,41,0.000800781
39321,42,0.000730591
39321,43,0.000695496
39321,44,0.000684814
39321,45,0.000508118
39321,46,0.000575562
39321,47,0.000473328
39321,48,0.000585938
39321,49,0.000433655
39321,50,0.000396729
39321,51,0.000280151
39321,52,0.000428467
39321,53,0.000274963
39321,54,0.00031311
39321,55,0.000201416
39321,56,0.000307617
39321,57,0.00017395
39321,58,0.000265503
39321,59,0.000180054
39321,60,0.000183105
39321,61,0.000111694
39321,62,0.000170288
39321,63,9.61304e-05
39321,64,0.00015625
39321,65,0.000158691
39321,66,0.00012085
39321,67,0.000143127
39321,68,2.0752e-05
39321,69,4.21143e-05
39321,70,4.27246e-05
39321,71,4.3335e-05
39321,72,4.39453e-05
39321,73,0.000111389
39321,74,2.2583e-05
39321,75,2.28882e-05
39321,76,9.27734e-05
39321,78,2.38037e-05
39321,79,2.41089e-05
39321,80,2.44141e-05
39321,82,2.50244e-05
39321,88,2.68555e-05
39321,91,2.7771e-05
45875,1,0.0995941162
45875,2,0.172535
45875,3,0.104865
45875,4,0.0727869
45875,5,0.0512024
45875,6,0.0371045
45875,7,0.0294928
45875,8,0.0235352
45875,9,0.0211047
45875,10,0.0187866
45875,11,0.0170297
45875,12,0.0156702
45875,13,0.01504
45875,14,0.0141589
45875,15,0.0135132
45875,16,0.0134375
45875,17,0.0123734
45875,18,0.0121454
45875,19,0.01173
45875,20,0.0110352
45875,21,0.010318
45875,22,0.0102856
45875,23,0.0100372
45875,24,0.00966797
45875,25,0.00865936
45875,26,0.00836304
45875,27,0.0072757
45875,28,0.00745972
45875,29,0.00692963
45875,30,0.00697632
45875,31,0.00578033
45875,32,0.00670898
45875,33,0.00598206
45875,34,0.00573792
45875,35,0.00497742
45875,36,0.00440552
45875,37,0.00537476
45875,38,0.00437195
45875,39,0.00398712
45875,40,0.00406494
45875,41,0.00381622
45875,42,0.00342224
45875,43,0.00328064
45875,44,0.00315552
45875,45,0.00284271
45875,46,0.00282166
45875,47,0.00309814
45875,48,0.00288574
45875,49,0.00260193
45875,50,0.00257874
45875,51,0.00245911
45875,52,0.00217407
45875,53,0.00231293
45875,54,0.0020105
45875,55,0.00191345
45875,56,0.00199951
45875,57,0.00198303
45875,58,0.00138062
45875,59,0.00138641
45875,60,0.00164795
45875,61,0.00134033
45875,62,0.00107849
45875,63,0.00126892
45875,64,0.00132813
45875,65,0.00128937
45875,66,0.0012085
45875,67,0.00112457
45875,68,0.00116211
45875,69,0.00130554
45875,70,0.00106812
45875,71,0.00134338
45875,72,0.00127441
45875,73,0.000802002
45875,74,0.00115173
45875,75,0.00100708
45875,76,0.000834961
45875,77,0.00110443
45875,78,0.000714111
45875,79,0.000819702
45875,80,0.0010498
45875,81,0.000741577
45875,82,0.000600586
45875,83,0.000785217
45875,84,0.000794678
45875,85,0.000648499
45875,86,0.000708618
45875,87,0.00090271
45875,88,0.000537109
45875,89,0.000570374
45875,90,0.000631714
45875,91,0.000416565
45875,92,0.000477295
45875,93,0.000596008
45875,94,0.00057373
45875,95,0.0003479
45875,96,0.000673828
45875,97,0.000444031
45875,98,0.000448608
45875,99,0.000332336
45875,100,0.000488281
45875,101,0.000431519
45875,102,0.000311279
45875,103,0.000314331
45875,104,0.000571289
45875,105,0.000512695
45875,106,0.000291138
45875,107,0.0004245
45875,108,0.000263672
45875,109,0.000232849
45875,110,0.000302124
45875,111,0.000237122
45875,112,0.000410156
45875,113,0.000310364
45875,114,0.00024353
45875,115,0.000280762
45875,116,0.000318604
45875,117,0.000285645
45875,118,0.000432129
45875,119,0.000145264
45875,120,0.000146484
45875,121,0.000221558
45875,122,0.000372314
45875,123,0.000150146
45875,124,0.000227051
45875,125,0.000228882
45875,126,0.000269165
45875,127,0.000116272
45875,128,0.000234375
45875,130,0.000198364
45875,131,0.000119934
