S,Cluster_size_B9,Cluster_Prob_B9
6554,1,0.813076
6554,2,0.151899
6554,3,0.0277203
6554,4,0.0056604
6554,5,0.00126343
6554,6,0.000289307
6554,7,7.04956e-05
6554,8,9.76563e-06
6554,9,8.23975e-06
6554,10,3.05176e-06
13107,1,0.651129
13107,2,0.226964
13107,3,0.0752161
13107,4,0.027511
13107,5,0.011116
13107,6,0.00459961
13107,7,0.00190765
13107,8,0.000908203
13107,9,0.000351562
13107,10,0.000183105
13107,11,7.38525e-05
13107,12,7.32422e-06
13107,13,1.98364e-05
13107,14,8.54492e-06
13107,15,4.57764e-06
19661,1,0.512076
19661,2,0.25046
19661,3,0.112083
19661,4,0.0548096
19661,5,0.0291275
19661,6,0.0167651
19661,7,0.0097113
19661,8,0.00590576
19661,9,0.0035376
19661,10,0.00223694
19661,11,0.00123535
19661,12,0.000831299
19661,13,0.000476074
19661,14,0.00027771
19661,15,0.000160217
19661,16,0.000126953
19661,17,9.85718e-05
19661,18,4.39453e-05
19661,19,5.79834e-06
19661,20,1.83105e-05
19661,21,1.28174e-05
25875,1,0.399907
25875,2,0.241725
25875,3,0.129345
25875,4,0.0733862
25875,5,0.0452606
25875,6,0.0303442
25875,7,0.0212
25875,8,0.0153296
25875,9,0.0112335
25875,10,0.00827942
25875,11,0.00638824
25875,12,0.0047168
25875,13,0.00335632
25875,14,0.00256775
25875,15,0.00190887
25875,16,0.00141113
25875,17,0.00104279
25875,18,0.0006427
25875,19,0.000527649
25875,20,0.000445557
25875,21,0.000262756
25875,22,0.000187988
25875,23,0.000105286
25875,24,0.000102539
25875,25,6.10352e-05
25875,26,3.96729e-05
25875,27,6.5918e-05
25875,28,5.12695e-05
25875,29,2.65503e-05
25875,30,9.15527e-06
25875,31,2.83813e-05
25875,32,9.76563e-06
25875,33,1.00708e-05
25875,34,1.0376e-05
25875,36,1.09863e-05
32768,1,0.294868
32768,2,0.214362
32768,3,0.128912
32768,4,0.0802881
32768,5,0.053157
32768,6,0.0387708
32768,7,0.0300354
32768,8,0.0246436
32768,9,0.0202231
32768,10,0.0168152
32768,11,0.0147839
32768,12,0.012323
32768,13,0.0107513
32768,14,0.00896362
32768,15,0.00789185
32768,16,0.00672363
32768,17,0.0057016
32768,18,0.00463074
32768,19,0.00422699
32768,20,0.00325317
32768,21,0.00329407
32768,22,0.00257812
32768,23,0.00215485
32768,24,0.00171387
32768,25,0.00163269
32768,26,0.00132507
32768,27,0.00097229
32768,28,0.000914307
32768,29,0.000743408
32768,30,0.000585937
32768,31,0.000529785
32768,32,0.000400391
32768,33,0.000292053
32768,34,0.000249023
32768,35,0.000256348
32768,36,0.000131836
32768,37,0.000135498
32768,38,0.000150757
32768,39,0.00013092
32768,40,8.54492e-05
32768,41,7.50732e-05
32768,42,3.84521e-05
32768,43,6.56128e-05
32768,44,1.34277e-05
32768,45,4.11987e-05
32768,46,2.80762e-05
32768,47,1.43433e-05
32768,48,7.32422e-05
32768,49,1.49536e-05
32768,55,1.67847e-05
32768,58,1.77002e-05
39321,1,0.209268
39321,2,0.183018
39321,3,0.118294
39321,4,0.075531
39321,5,0.0506882
39321,6,0.0372327
39321,7,0.0290741
39321,8,0.0235693
39321,9,0.0208438
39321,10,0.0185303
39321,11,0.0168988
39321,12,0.0159045
39321,13,0.0150955
39321,14,0.0142401
39321,15,0.0134491
39321,16,0.0122168
39321,17,0.0116003
39321,18,0.0107172
39321,19,0.0104196
39321,20,0.00895996
39321,21,0.00848511
39321,22,0.00815735
39321,23,0.0070752
39321,24,0.00678223
39321,25,0.0062561
39321,26,0.00568909
39321,27,0.00537231
39321,28,0.00475098
39321,29,0.0042569
39321,30,0.00393677
39321,31,0.00389771
39321,32,0.00310547
39321,33,0.00306152
39321,34,0.00276001
39321,35,0.0023819
39321,36,0.00209839
39321,37,0.00214539
39321,38,0.00182068
39321,39,0.00171387
39321,40,0.00148926
39321,41,0.00165161
39321,42,0.001474
39321,43,0.00108917
39321,44,0.0012085
39321,45,0.00131836
39321,46,0.000884399
39321,47,0.00100403
39321,48,0.000834961
39321,49,0.00070282
39321,50,0.000823975
39321,51,0.000482483
39321,52,0.00055542
39321,53,0.000485229
39321,54,0.000362549
39321,55,0.000553894
39321,56,0.000529785
39321,57,0.000469666
39321,58,0.000442505
39321,59,0.000360107
39321,60,0.00032959
39321,61,0.000167542
39321,62,0.000283813
39321,63,0.000230713
39321,64,0.000234375
39321,65,0.000198364
39321,66,0.000201416
39321,67,0.000245361
39321,68,0.000166016
39321,69,8.42285e-05
39321,70,0.000213623
39321,71,0.000108337
39321,72,0.000131836
39321,73,8.91113e-05
39321,74,0.000112915
39321,75,0.000137329
39321,76,4.63867e-05
39321,77,0.000117493
39321,78,7.14111e-05
39321,79,2.41089e-05
39321,80,9.76563e-05
39321,81,0.000148315
39321,82,2.50244e-05
39321,83,2.53296e-05
39321,84,7.69043e-05
39321,85,2.59399e-05
39321,86,2.62451e-05
39321,87,5.31006e-05
39321,91,5.5542e-05
39321,92,2.80762e-05
39321,93,2.83813e-05
39321,98,2.99072e-05
39321,100,3.05176e-05
39321,101,3.08228e-05
39321,103,3.14331e-05
39321,109,3.32642e-05
39321,126,3.84521e-05
45875,1,0.0975418
45875,2,0.162608
45875,3,0.103086
45875,4,0.0701172
45875,5,0.0481522
45875,6,0.0336163
45875,7,0.0245517
45875,8,0.0191919
45875,9,0.0150705
45875,10,0.0132507
45875,11,0.0117828
45875,12,0.0110632
45875,13,0.0105927
45875,14,0.0104504
45875,15,0.0106705
45875,16,0.0103125
45875,17,0.0100024
45875,18,0.00961853
45875,19,0.00970642
45875,20,0.00928345
45875,21,0.00913879
45875,22,0.00938599
45875,23,0.00867554
45875,24,0.00850342
45875,25,0.00832367
45875,26,0.00881531
45875,27,0.007836
45875,28,0.00754517
45875,29,0.00725708
45875,30,0.00739746
45875,31,0.00631958
45875,32,0.00728516
45875,33,0.00649567
45875,34,0.00685852
45875,35,0.00562897
45875,36,0.00567993
45875,37,0.00583771
45875,38,0.00521851
45875,39,0.00517731
45875,40,0.00550537
45875,41,0.00465454
45875,42,0.00487061
45875,43,0.00480286
45875,44,0.00453857
45875,45,0.00403748
45875,46,0.00443604
45875,47,0.00347107
45875,48,0.00342773
45875,49,0.00321503
45875,50,0.00302124
45875,51,0.00322174
45875,52,0.00358643
45875,53,0.00304077
45875,54,0.00303223
45875,55,0.00332336
45875,56,0.00261475
45875,57,0.00205261
45875,58,0.00267273
45875,59,0.00230469
45875,60,0.00241699
45875,61,0.00251312
45875,62,0.00213806
45875,63,0.00192261
45875,64,0.00224609
45875,65,0.00174561
45875,66,0.00191345
45875,67,0.00196289
45875,68,0.00192993
45875,69,0.00160034
45875,70,0.00196533
45875,71,0.00143005
45875,72,0.00149414
45875,73,0.00171539
45875,74,0.00135498
45875,75,0.00137329
45875,76,0.00180908
45875,77,0.00140991
45875,78,0.00114258
45875,79,0.00103668
45875,80,0.00119629
45875,81,0.00158203
45875,82,0.00120117
45875,83,0.00113983
45875,84,0.0012561
45875,85,0.00121918
45875,86,0.0010498
45875,87,0.000849609
45875,88,0.00128906
45875,89,0.00100494
45875,90,0.00153809
45875,91,0.00111084
45875,92,0.00036499
45875,93,0.00105011
45875,94,0.00111877
45875,95,0.000927734
45875,96,0.0009375
45875,97,0.00106567
45875,98,0.00113647
45875,99,0.000725098
45875,100,0.00106812
45875,101,0.000986328
45875,102,0.00090271
45875,103,0.000660095
45875,104,0.00072998
45875,105,0.000897217
45875,106,0.000841064
45875,107,0.000489807
45875,108,0.00065918
45875,109,0.000598755
45875,110,0.000604248
45875,111,0.00067749
45875,112,0.000717773
45875,113,0.000586243
45875,114,0.000591431
45875,115,0.000701904
45875,116,0.000743408
45875,117,0.000392761
45875,118,0.000864258
45875,119,0.000726318
45875,120,0.000402832
45875,121,0.000627747
45875,122,0.000446777
45875,123,0.000525513
45875,124,0.000681152
45875,125,0.000495911
45875,126,0.000499878
45875,127,0.000426331
45875,128,0.000390625
45875,129,0.000393677
45875,130,0.00055542
45875,131,0.000359802
45875,132,0.000362549
45875,133,0.000690002
45875,134,0.00057251
45875,135,0.000205994
45875,136,0.000581055
45875,137,0.000627136
45875,138,0.000252686
45875,139,0.000509033
45875,140,0.00055542
45875,141,0.000258179
45875,142,0.00026001
45875,143,0.000480042
45875,144,0.000263672
45875,145,0.000354004
45875,146,0.000445557
45875,147,0.000358887
45875,148,0.000316162
45875,149,0.000227356
45875,150,0.000137329
45875,151,0.000368652
45875,152,0.000324707
45875,153,0.000140076
45875,154,0.000187988
45875,155,0.000331116
45875,156,0.000142822
45875,157,0.000287476
45875,158,0.000337524
45875,159,9.70459e-05
45875,160,0.000146484
45875,161,0.000196533
45875,162,0.000247192
45875,163,0.000198975
45875,164,0.000300293
45875,165,0.000352478
45875,166,0.000101318
45875,167,0.000203857
45875,168,0.000205078
45875,169,0.000361023
45875,170,0.000259399
45875,171,0.00020874
45875,172,0.000209961
45875,173,0.000211182
45875,174,0.000265503
45875,175,0.00037384
45875,176,0.000214844
45875,177,0.000216064
45875,178,0.000162964
45875,179,0.000327759
45875,181,0.00016571
45875,182,0.000166626
45875,183,0.000111694
45875,184,0.000112305
45875,185,0.00022583
45875,186,0.000227051
45875,187,0.000171204
45875,188,0.000229492
45875,189,5.76782e-05
45875,190,0.000115967
45875,191,0.000174866
45875,192,0.000234375
45875,194,5.92041e-05
45875,195,0.000416565
45875,196,0.000179443
45875,197,0.000300598
45875,198,0.000181274
45875,199,0.00012146
